Fecha,norm_DemandaEnergiakwh,norm_prom_precio_ofertado_hidraulica_ $/kWh,norm_prom_precio_ofertado_termica_ $/kWh,norm_precio_ofertado_medio_por_cantidad_hidraulica_ $/kWh,norm_precio_ofertado_medio_por_cantidad_termica_ $/kWh,norm_enzo,norm_precio_bolsa_ponderado,precio_bolsa_ponderado
2000-01-01,-2.4200941968434577,-0.9283396387226965,-1.6116047655325534,-0.6677817869861942,-1.3280672989749345,-1.2572525625684192,-0.7461663759861022,32.86812133
2000-01-02,-2.384661587626675,-0.9235616118612694,-1.5924037539716105,-0.6590320502157072,-1.3396268327347438,-1.2572525625684192,-0.7449407375293404,33.034788
2000-01-03,-1.7693464332864186,-0.9083071786654415,-1.4575357505236906,-0.6419840785633789,-1.3362803543211765,-1.2572525625684192,-0.7137788803894047,37.272288
2000-01-04,-1.6478714036073387,-0.9166930997887925,-1.4951813057602912,-0.6554522582948192,-1.3329624654575702,-1.2572525625684192,-0.6812994619102886,41.68895467
2000-01-05,-1.6553143793026024,-0.9209957657516257,-1.5193907881121007,-0.6920184501852069,-1.33140283822645,-1.2572525625684192,-0.687151885473304,40.89312133
2000-01-06,-1.6098983213893678,-0.9210489337063151,-1.429916386543691,-0.7115947832442184,-1.306618578562412,-1.2572525625684192,-0.7170574631711586,36.82645467
2000-01-07,-1.6066765325069348,-0.9069117824126437,-1.429726324731356,-0.6849098040411654,-1.3216975077462099,-1.2572525625684192,-0.7048010788976922,38.49312133
2000-01-08,-1.8426610998808028,-0.9088921793257428,-1.589741610206969,-0.6629445714036263,-1.3240088256078693,-1.2572525625684192,-0.7504561104744618,32.284788
2000-01-09,-2.301090758451974,-0.9128593729983387,-1.4466108278526308,-0.6684094002946633,-1.2925200647041926,-1.2572525625684192,-0.7504561104744618,32.284788
2000-01-10,-2.2351302065359473,-0.9188503403207301,-1.203812413606394,-0.6577022197059049,-1.290226722460504,-1.2572525625684192,-0.7504561104744618,32.284788
2000-01-11,-1.61410335165367,-0.9148298145948192,-1.2015330973219673,-0.6691777286705731,-1.243838790712691,-1.2572525625684192,-0.7378933165684203,33.99312133
2000-01-12,-1.5064208212415016,-0.91377122530108,-1.554733938325143,-0.669045147629089,-1.3632332171329264,-1.2572525625684192,-0.7238291155583608,35.90562133
2000-01-13,-1.5010623288161922,-0.9241064192982109,-1.3681939204633453,-0.6741477734219509,-1.3103527601595855,-1.2572525625684192,-0.7242887299704543,35.84312133
2000-01-14,-1.4796456697026634,-0.9270764950222118,-1.5520318532969037,-0.6691036674272034,-1.3372989923943104,-1.2572525625684192,-0.7182218197308209,36.66812133
2000-01-15,-1.708440572981409,-0.917203085497385,-1.392911314725613,-0.6634142063625322,-1.2921455723903112,-1.2572525625684192,-0.7449407375293404,33.034788
2000-01-16,-2.193602683641736,-0.9238531166597582,-1.2943438857401048,-0.6746758818750883,-1.1852294661894025,-1.2572525625684192,-0.7504561104744618,32.284788
2000-01-17,-1.507435510191042,-0.9135506548684774,-1.3362085349685957,-0.6522474112385491,-1.2390231654587842,-1.2572525625684192,-0.7394253645842191,33.784788
2000-01-18,-1.4705760036548987,-0.8837513290540332,-1.4255825786205978,-0.604671395560899,-1.2623235519160176,-1.2572525625684192,-0.7018901875720749,38.88895467
2000-01-19,-1.4228471069688493,-0.8729818753940632,-1.3605410476500697,-0.590548890147321,-1.2157731320085077,-1.2572525625684192,-0.7237984745730419,35.909788
2000-01-20,-1.4178656247183512,-0.844725984672511,-1.3819762980376271,-0.6004649543888917,-1.2362114608607755,-1.2572525625684192,-0.7008422667125018,39.03145467
2000-01-21,-1.4243521904426948,-0.8503261675279347,-1.298723116236557,-0.6362340928173673,-1.280891713116711,-1.2572525625684192,-0.7135169001745115,37.307913
2000-01-22,-1.665849314472482,-0.8763315331188586,-1.2574696613607874,-0.659734128363481,-1.2170374911748454,-1.2572525625684192,-0.7294670522976816,35.13895467
2000-01-23,-2.1335087620277258,-0.8915850014147679,-1.4362088919351796,-0.6704335384551556,-1.333776295369157,-1.2572525625684192,-0.7501497008418866,32.32645467
2000-01-24,-1.4605535340086533,-0.9003720364665718,-1.5617374179735095,-0.6758785256571698,-1.3596886559000876,-1.2572525625684192,-0.735595244507953,34.30562133
2000-01-25,-1.3819302871835204,-0.899390665422088,-1.669277931759717,-0.6688266891807513,-1.349972878655541,-1.2572525625684192,-0.7142384948014983,37.209788
2000-01-26,-1.3403084215862953,-0.8865968736130505,-1.4251834752121684,-0.665568773588521,-1.324823598062757,-1.2572525625684192,-0.6624846863368313,44.24745467
2000-01-27,-1.3761748774075342,-0.8838671936236047,-1.6838164688393473,-0.6585594990994462,-1.441137809097954,-1.2572525625684192,-0.6686447451218285,43.409788
2000-01-28,-1.3642959914844002,-0.8698840696758705,-1.6350794730660507,-0.6365415501418603,-1.4287708030532578,-1.2572525625684192,-0.6493869012551131,46.028538
2000-01-29,-1.6083971327977569,-0.8730562667709951,-1.4912666149304494,-0.6479688169324281,-1.289478170309647,-1.2572525625684192,-0.7146215067870634,37.15770467
2000-01-30,-2.0847713072252825,-0.894080374822659,-1.4839256368490505,-0.660174400462905,-1.2733342897553508,-1.2572525625684192,-0.7259433418539907,35.61812133
2000-01-31,-1.46218880752756,-0.8694939240995517,-1.456160957510909,-0.6365537460809416,-1.3292975886022136,-1.2572525625684192,-0.6634507958310516,44.11607967
2000-02-01,-1.4156992767940233,-0.8856180227585545,-1.6195355164499379,-0.6574230602008313,-1.3130470664039748,-1.2693327610439764,-0.6927431695113395,40.13279867
